JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,YCY
北2-2-048,199607,6924284,5,665,3,6,1393,26.068,44.94,6.9
北2-2-048,199608,6924284,4.7,665,3,6,1066.3,26.1806,41.01,5.33
北2-2-048,199609,6924284,4,756,3,6,1202,26.2812,40.07,4.5
北2-2-048,199610,6924284,4.3,739,3,6,1270.7,26.3863,42.36,6.81
北2-2-048,199611,6924284,4.3,765,3,6,1174.9,26.4848,39.16,6.68
北2-2-048,199612,6924284,4.3,765,3,6,1187.2,26.5843,38.3,6.27
北2-2-048,199701,6924284,4.3,765,3,6,1246.5,26.6843,40.21,5.77
北2-2-048,199702,6924284,4.3,765,3,6,1008.2,26.7739,36.01,4.76
北2-2-048,199703,6924284,4.3,765,3,6,1113.4,26.8676,35.92,5.09
北2-2-048,199704,6924284,4.3,593,3,6,1217.7,26.961,41.99,5.89
北2-2-048,199705,6924284,6.1,351,3,6,1245.1,27.059,46.11,5.85
北2-2-048,199706,6924284,4.2,351,3,6,1282.4,27.1478,42.75,5.3
北2-2-048,199707,6924284,4.6,718,3,6,1205.8,27.2291,38.9,6.97
北2-2-048,199708,6924284,4.5,762,3,6,1164.1,27.3101,37.55,5.15
北2-2-048,199709,6924284,4,730,3,6,947.2,27.39,39.47,5.84
北2-2-048,199710,6924284,4,730,3,6,1336.8,27.4746,43.12,5.62
北2-2-048,199711,6924284,4.3,688,3,6,1341.2,27.5586,44.71,7.44
北2-2-048,199712,6924284,4.8,670,3,6,1361.4,27.6437,43.92,7.86
北2-2-048,199801,6924284,4.6,670,3,6,1359.2,27.7282,43.85,6.46
北2-2-048,199802,6924284,4.2,670,3,6,782.1,27.7989,41.16,6.08
北2-2-048,199803,6924284,4.7,575,3,6,1193,27.8766,38.48,4.25
北2-2-048,199804,6924284,4.1,751,3,6,1251.3,27.9404,41.71,3.04
北2-2-048,199805,6924284,4.9,564,3,6,1350.3,28.0171,43.56,4.43
