jh,rq,real,predict,jdwc,xdwc,mpe
喇10-19,1985-02-01,81.5728713676082,78.02811,3.544764678155076,0.0434551906623538,-4.34551906623538
喇10-19,1985-03-01,81.66448364153626,78.043175,3.621308897883921,0.04434374328232509,-4.434374328232509
喇10-19,1985-04-01,85.40393009550905,77.73755,7.666381267384054,0.08976614142710498,-8.976614142710499
喇10-19,1985-05-01,70.21503149766308,77.73969,7.5246611903252045,0.10716595905216739,10.716595905216739
喇10-19,1985-06-01,71.98481406218248,78.082466,6.097652063305802,0.08470747813613133,8.470747813613134
喇10-19,1985-07-01,78.42057630562894,78.65833,0.23775651907808992,0.003031812953675323,0.3031812953675323
喇10-19,1985-08-01,85.70375208290997,78.34569,7.358064216699034,0.0858546334071912,-8.58546334071912
喇10-19,1985-09-01,85.30815362731153,77.76014,7.548014161979495,0.08847939899103605,-8.847939899103604
喇10-19,1985-10-01,70.00890388132494,77.328064,7.31916008351881,0.10454613167384863,10.454613167384863
喇10-19,1985-11-01,75.11420605567974,77.99002,2.8758146962733804,0.0382858962010679,3.82858962010679
喇10-19,1985-12-01,82.41195651290388,78.48227,3.9296872257945097,0.04768345992585685,-4.768345992585685
喇10-19,1986-01-01,76.81111522048364,78.16686,1.3557472673093258,0.017650404676689047,1.7650404676689047
喇10-19,1986-02-01,75.03925055882951,77.933014,2.893763357186117,0.03856332966595202,3.856332966595202
喇10-19,1986-03-01,72.70105547652916,78.237885,5.536829044955212,0.07615885365987189,7.6158853659871895
喇10-19,1986-04-01,72.36791993497256,78.12299,5.755073534265719,0.07952520314853652,7.952520314853652
喇10-19,1986-05-01,81.82272302377565,78.40825,3.414474122408464,0.041730145321811185,-4.173014532181119
喇10-19,1986-06-01,78.41849420849421,77.611694,0.8067998725567094,0.010288387716444034,-1.0288387716444034
喇10-19,1986-07-01,78.10409754115017,77.911896,0.19220178919704267,0.0024608413034383843,-0.24608413034383844
喇10-19,1986-08-01,79.26590774232879,77.91769,1.3482212799264488,0.017008841736968906,-1.7008841736968907
喇10-19,1986-09-01,77.03598171103434,78.323586,1.2876037992195677,0.01671431674680841,1.671431674680841
喇10-19,1986-10-01,77.96459703312335,78.22052,0.2559229864078958,0.003282553827593909,0.32825538275939087
喇10-19,1986-11-01,78.84948831538306,78.188835,0.6606531713400869,0.008378661491087921,-0.8378661491087921
喇10-19,1986-12-01,78.52051696809592,78.21334,0.307176208818575,0.003912050259977088,-0.3912050259977088
喇10-19,1987-01-01,78.66209957325748,78.11391,0.5481927129059159,0.0069689560268523945,-0.6968956026852394
喇10-19,1987-02-01,78.78494330420646,78.23905,0.5458914853588084,0.006928880855457343,-0.6928880855457343
喇10-19,1987-03-01,88.11065637065637,78.362045,9.748611082570434,0.11064054547001456,-11.064054547001456
喇10-19,1987-04-01,76.8590034545824,77.71509,0.8560844360425932,0.01113837543507146,1.1138375435071461
喇10-203,1982-12-01,82.54937492379598,78.52936,4.02001701363973,0.04869833378327503,-4.869833378327503
喇10-203,1983-01-01,78.51427067669174,78.08924,0.42502964885970584,0.005413406317049099,-0.5413406317049099
喇10-203,1983-02-01,75.772148750254,78.03375,2.2616036911522457,0.029847427167553623,2.9847427167553624
喇10-203,1983-03-01,79.68440926640928,78.04028,1.6441260632842756,0.0206329704696368,-2.06329704696368
喇10-203,1983-04-01,77.32747530989637,77.97652,0.6490414137364411,0.008393412705320496,0.8393412705320495
喇10-203,1983-05-01,76.02616460069092,77.87538,1.8492168690356436,0.024323427056306326,2.4323427056306324
喇10-203,1983-06-01,77.15466124771388,77.94583,0.7911700511142499,0.01025433899027964,1.025433899027964
喇10-203,1983-07-01,78.37477016866491,78.20943,0.16534328878209692,0.002109649424505783,-0.21096494245057829
喇10-203,1983-08-01,79.64693151798416,78.133354,1.5135773309724385,0.019003586228939343,-1.9003586228939342
喇10-203,1983-09-01,78.92236171509856,78.1323,0.7900603845321541,0.010010602411825803,-1.0010602411825804
喇10-203,1983-10-01,80.63176346271084,78.0122,2.6195640608553674,0.0324879916841558,-3.24879916841558
喇10-203,1983-11-01,82.96995854501118,77.802246,5.167712451261181,0.062284139246106755,-6.228413924610676
喇10-203,1983-12-01,77.74389473684211,77.71905,0.024847190455389523,0.00031960310889357423,-0.03196031088935743
喇10-203,1984-01-01,74.77482422271896,77.74697,2.9721469076521316,0.039747962479985334,3.9747962479985333
喇10-203,1984-02-01,75.33074415769153,77.94353,2.612783063988161,0.03468415310644966,3.4684153106449656
喇10-203,1984-03-01,81.935156269051,78.13249,3.802664203621319,0.046410654190180416,-4.641065419018042
喇10-203,1984-04-01,77.9312834789677,77.73365,0.19763327144816856,0.002535994053036562,-0.2535994053036562
喇10-203,1984-05-01,78.90154074375127,77.36253,1.5390071744153317,0.019505413454644304,-1.9505413454644305
