JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,RCYE,HSL,YCY
北2-2-046,199201,6924398,4.3,442,3,6,1257.4,20.6587,9.24,40.56,77.22,9.24
北2-2-046,199202,6924398,4,503,3,6,1175.4,20.7405,9.51,40.53,76.53,9.51
北2-2-046,199203,6924398,4,503,3,6,1036,20.8243,9.04,35.72,74.68,9.04
北2-2-046,199204,6924398,4,503,3,6,1223.6,20.905,10.18,40.79,75.04,10.18
北2-2-046,199205,6924398,1,360,3,6,1269.1,20.9854,11,40.94,73.14,11
北2-2-046,199206,6924398,4.7,366,3,6,1229.8,21.0646,8.83,40.99,78.47,8.83
北2-2-046,199207,6924398,4.9,341,3,6,1284.2,21.1455,8.68,41.43,79.04,8.68
北2-2-046,199208,6924398,5.3,281,3,6,1214.6,21.2253,9.51,41.88,77.29,9.51
北2-2-046,199209,6924398,5.1,344,3,6,1205.6,21.3028,8.92,40.19,77.8,8.92
北2-2-046,199210,6924398,4.7,398,3,6,1315.9,21.3827,9.35,42.45,77.98,9.35
北2-2-046,199211,6924398,5.2,325,3,6,1324.3,21.4619,9.81,44.14,77.77,9.81
北2-2-046,199212,6924398,5.6,283,3,6,1405.3,21.5459,9.89,45.33,78.18,9.89
北2-2-046,199301,6924398,5.4,294,3,6,1359.2,21.6254,9.56,43.85,78.2,9.56
北2-2-046,199302,6924398,4.7,421,3,6,1143.9,21.695,9.22,40.85,77.44,9.22
北2-2-046,199303,6924398,5.5,283,3,6,1269.9,21.7746,9.02,40.96,77.98,9.02
北2-2-046,199304,6924398,3.7,577,3,6,1212.7,21.8456,9.51,40.42,76.48,9.51
北2-2-046,199305,6924398,5.1,285,3,6,1164.5,21.9198,9.43,38.82,75.7,9.43
北2-2-046,199306,6924398,3.4,771,3,6,1256.9,21.9912,10.18,41.9,75.7,10.18
北2-2-046,199307,6924398,5,364,3,6,1201.5,22.0619,9.13,38.76,76.45,9.13
北2-2-046,199308,6924398,4.6,437,3,6,1147.4,22.1298,8.15,37.01,77.99,8.15
北2-2-046,199309,6924398,4.7,412,3,6,1123.4,22.2029,8.85,37.45,76.36,8.85
北2-2-046,199310,6924398,3.1,707,3,6,1232.6,22.3001,8.06,39.76,79.73,8.06
北2-2-046,199311,6924398,5.7,297,3,6,869.8,22.394,6.35,36.24,82.48,6.35
北2-2-046,199312,6924398,4.3,542,3,6,1182.6,22.4962,6.39,38.15,83.25,6.39
北2-2-046,199401,6924398,4,577,3,6,1151,22.6062,6.15,37.13,83.45,6.15
北2-2-048,199106,6924284,3.8,662,3,6,1295.5,20.0786,16.7,43.18,61.34,16.7
北2-2-048,199107,6924284,6.6,194,3,6,1275.2,20.1644,17.56,42.51,58.69,17.56
北2-2-048,199108,6924284,6.1,271,3,6,1248.7,20.2506,17.69,40.28,56.08,17.69
北2-2-048,199109,6924284,4.1,746,3,6,966.7,20.3312,15.18,37.18,59.18,15.18
北2-2-048,199110,6924284,4,782,3,6,1148,20.4127,14.67,37.03,60.39,14.67
北2-2-048,199111,6924284,3.9,780,3,6,1008,20.4917,13.05,33.6,61.17,13.05
北2-2-048,199112,6924284,3.9,777,3,6,869.5,20.5752,11.6,28.05,58.63,11.6
北2-2-048,199201,6924284,3.6,780,3,6,851.3,20.6587,13.49,27.46,50.86,13.49
北2-2-048,199202,6924284,3.8,699,3,6,859.8,20.7405,13.24,29.65,55.34,13.24
北2-2-048,199203,6924284,3.8,699,3,6,599,20.8243,7.78,19.32,59.72,7.78
北2-2-048,199204,6924284,3.8,699,3,6,388,20.905,4.87,12.93,62.32,4.87
北2-2-048,199205,6924284,3.8,725,3,6,393.1,20.9854,4.5,12.68,64.51,4.5
北2-2-048,199206,6924284,4.1,785,3,6,380.2,21.0646,4.84,12.67,61.81,4.84
北2-2-048,199207,6924284,4.1,750,3,6,413.7,21.1455,5.19,13.35,61.08,5.19
北2-2-048,199208,6924284,4.4,725,3,6,445.6,21.2253,5.46,14.85,63.26,5.46
北2-2-048,199209,6924284,4.1,769,3,6,432.9,21.3028,6.14,17.32,64.56,6.14
北2-2-048,199210,6924284,4.2,727,3,6,502.6,21.3827,5.45,16.21,66.41,5.45
北2-2-048,199211,6924284,4.1,707,3,6,440.6,21.4619,5.31,14.69,63.87,5.31
北2-2-048,199212,6924284,4.1,692,3,6,497.3,21.5459,5.36,16.04,66.6,5.36
北2-2-048,199301,6924284,4,682,3,6,528.9,21.6254,5.9,17.06,65.42,5.9
北2-2-048,199302,6924284,3.8,701,3,6,505.1,21.695,6.43,18.04,64.34,6.43
北2-2-048,199303,6924284,3.7,781,3,6,734.3,21.7746,8.39,23.69,64.58,8.39
北2-2-048,199304,6924284,3.5,789,3,6,737.9,21.8456,8.69,24.6,64.68,8.69
北2-2-048,199305,6924284,3.5,786,3,6,556.4,21.9198,8.73,24.19,63.89,8.73
北2-2-048,199306,6924284,4.8,391,3,6,754.4,21.9912,9.22,25.15,63.32,9.22
北2-2-048,199307,6924284,3.6,670,3,6,773.8,22.0619,9.5,24.96,61.94,9.5
北2-2-048,199308,6924284,3.6,666,3,6,743.9,22.1298,9.66,24,59.73,9.66
北2-2-048,199309,6924284,4.1,683,3,6,610.6,22.2029,3.21,21.06,84.74,3.21
北2-2-048,199310,6924284,4.2,633,3,6,679.9,22.3001,3.58,21.93,83.66,3.58
